occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,years
1338365,Tarbosaurus,carnivorous,large theropod,10,83.6,66,Omnogov,101.053612,43.502499,Saurischia,Tyrannosauridae,74.8
1338366,Gallimimus,omnivorous,large theropod,6,83.6,66,Omnogov,101.051109,43.499443,Saurischia,Ornithomimidae,74.8
1338367,Tarbosaurus,carnivorous,large theropod,10,83.6,66,Omnogov,101.029724,43.52639,Saurischia,Tyrannosauridae,74.8
1338410,Tarbosaurus,carnivorous,large theropod,10,83.6,66,Omnogov,101.041389,43.529167,Saurischia,Tyrannosauridae,74.8
1338411,Tarbosaurus,carnivorous,large theropod,10,83.6,66,Omnogov,101.032219,43.528057,Saurischia,Tyrannosauridae,74.8
1338412,Gallimimus,omnivorous,large theropod,6,83.6,66,Omnogov,101.04583,43.513058,Saurischia,Ornithomimidae,74.8
1338418,Gallimimus,omnivorous,large theropod,6,83.6,66,Omnogov,101.036392,43.538055,Saurischia,Ornithomimidae,74.8
1338419,Gallimimus,omnivorous,large theropod,6,83.6,66,Omnogov,101.037781,43.539722,Saurischia,Ornithomimidae,74.8
1338420,Tarbosaurus,carnivorous,large theropod,10,83.6,66,Omnogov,101.031387,43.520557,Saurischia,Tyrannosauridae,74.8
1338568,Gallimimus,omnivorous,large theropod,6,83.6,66,Omnogov,100.360558,43.481945,Saurischia,Ornithomimidae,74.8
1338569,Gallimimus,omnivorous,large theropod,6,83.6,66,Omnogov,100.374809,43.44128,Saurischia,Ornithomimidae,74.8
1338652,Gallimimus,omnivorous,large theropod,6,83.6,66,Omnogov,100.457222,43.597221,Saurischia,Ornithomimidae,74.8
1338653,Tarbosaurus,carnivorous,large theropod,10,83.6,66,Omnogov,100.455833,43.604721,Saurischia,Tyrannosauridae,74.8
1338654,Tarbosaurus,carnivorous,large theropod,10,83.6,66,Omnogov,100.452225,43.601391,Saurischia,Tyrannosauridae,74.8
1342709,Microraptor,carnivorous,small theropod,0.8,125,113,Liaoning,119.683296,40.650002,Saurischia,Dromaeosauridae,119
1345735,Allosaurus,carnivorous,large theropod,12,99.6,89.3,Kumamoto,130.844238,32.742764,Saurischia,Allosauridae,94.44999999999999
1345736,Allosaurus,carnivorous,large theropod,12,99.6,89.3,Kumamoto,130.850861,32.748486,Saurischia,Allosauridae,94.44999999999999
1347074,Allosaurus,carnivorous,large theropod,12,155.7,150.8,Nordrhein-Westfalen,8.709167,52.292778,Saurischia,Allosauridae,153.25
1347075,Megalosaurus,carnivorous,large theropod,9,155.7,150.8,Nordrhein-Westfalen,8.709167,52.292778,Saurischia,Megalosauridae,153.25
1347079,Brachiosaurus,herbivorous,sauropod,30,155.7,150.8,Nordrhein-Westfalen,8.709167,52.292778,Saurischia,Brachiosauridae,153.25
1350015,Segnosaurus,carnivorous,large theropod,4,100.5,89.8,Omnogov,107.518059,43.144169,Saurischia,Therizinosauridae,95.15
1350466,Tyrannosaurus,carnivorous,large theropod,12,72.1,66,Montana,-105.080002,45.66,Saurischia,Tyrannosauridae,69.05
1350468,Paronychodon,carnivorous,large theropod,5,72.1,66,Montana,-105.080002,45.66,Saurischia,Troodontidae,69.05
1350469,Dromaeosaurus,carnivorous,small theropod,1.8,72.1,66,Montana,-105.080002,45.66,Saurischia,Dromaeosauridae,69.05
1350470,Saurornitholestes,carnivorous,small theropod,1.5,72.1,66,Montana,-105.080002,45.66,Saurischia,Dromaeosauridae,69.05
1350471,Richardoestesia,carnivorous,small theropod,1.5,72.1,66,Montana,-105.080002,45.66,Saurischia,Dromaeosauridae,69.05
1355319,Troodon,carnivorous,small theropod,2,83.5,70.6,Alberta,-111.56308,50.724758,Saurischia,Troodontidae,77.05
1358693,Allosaurus,carnivorous,large theropod,12,157.3,145,Colorado,-108.728333,39.15889,Saurischia,Allosauridae,151.15
1360630,Allosaurus,carnivorous,large theropod,12,152.1,145,Lisboa,-9.404722,39.087502,Saurischia,Allosauridae,148.55
1360632,Torvosaurus,carnivorous,large theropod,10,155.7,145,Lisboa,-9.343889,39.216667,Saurischia,Megalosauridae,150.35
1360633,Daspletosaurus,carnivorous,large theropod,9,83.6,72.1,Montana,-112.582832,47.634678,Saurischia,Tyrannosauridae,77.85
1364692,Saurophaganax,carnivorous,large theropod,12,155.7,145,Oklahoma,-102.824997,36.897499,Saurischia,Allosauridae,150.35
130209,Chaoyangsaurus,herbivorous,ceratopsian,1.1,150.8,132.9,Liaoning,123.966698,42.9333,Ornithischia,Chaoyangsauridae,141.85000000000002
139251,Centrosaurus,herbivorous,ceratopsian,6,83.5,70.6,Alberta,-111.528931,50.737297,Ornithischia,Ceratopsidae,77.05
139294,Gryposaurus,herbivorous,ornithopod,10,83.5,70.6,Alberta,-111.529999,50.77,Ornithischia,Hadrosauridae,77.05
139340,Ankylosaurus,herbivorous,armored dinosaur,7,72.1,66,Montana,-106.569901,47.637699,Ornithischia,Ankylosauridae,69.05
147092,Pachycephalosaurus,herbivorous,ornithopod,8,72.1,66,Montana,-106.227776,47.695831,Ornithischia,Pachycephalosauridae,69.05
149599,Stegosaurus,herbivorous,armored dinosaur,9,157.3,145,Wyoming,-106.389999,42.035831,Ornithischia,Stegosauridae,151.15
149860,Hypsilophodon,herbivorous,ornithopod,2.3,130,122.46,England,-1.468,50.654499,Ornithischia,Hypsilophodontidae,126.22999999999999
149983,Orodromeus,herbivorous,ornithopod,2,83.6,72.1,Montana,-112.182777,47.8125,Ornithischia,Thescelosauridae,77.85
149984,Maiasaura,herbivorous,ornithopod,9,83.6,72.1,Montana,-112.182777,47.8125,Ornithischia,Hadrosauridae,77.85
150241,Telmatosaurus,herbivorous,ornithopod,5,72.1,66,Hunedoara,22.845142,45.603615,Ornithischia,Hadrosauridae,69.05
150248,Valdosaurus,herbivorous,ornithopod,3,145,139.8,Judetul Bihor,22.4,46.950001,Ornithischia,Dryosauridae,142.4
150309,Styracosaurus,herbivorous,ceratopsian,5.5,83.5,70.6,Alberta,-111.565781,50.742214,Ornithischia,Ceratopsidae,77.05
150310,Centrosaurus,herbivorous,ceratopsian,6,83.6,72.1,Alberta,-111.800003,50.73,Ornithischia,Ceratopsidae,77.85
150352,Stegosaurus,herbivorous,armored dinosaur,9,157.3,145,Wyoming,-105.916199,42.152302,Ornithischia,Stegosauridae,151.15
219973,Stegosaurus,herbivorous,armored dinosaur,9,157.3,145,Wyoming,-106.048615,42.017776,Ornithischia,Stegosauridae,151.15
219990,Prosaurolophus,herbivorous,ornithopod,7.6,83.6,72.1,Montana,-113.75,48.630001,Ornithischia,Hadrosauridae,77.85
219992,Maiasaura,herbivorous,ornithopod,9,83.6,72.1,Montana,-113.75,48.633301,Ornithischia,Hadrosauridae,77.85
219993,Orodromeus,herbivorous,ornithopod,2,83.6,72.1,Montana,-113.75,48.633301,Ornithischia,Thescelosauridae,77.85
